Symbol,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
66,0,0,0,4.292026425,5.008928696,7.87376781,7.181147397,14.52877578,28.38791816,8.059326001,41.40504131,20.67565963,35.69583593
70,2.853997005,4.266443096,1.415780289,10.0999037,8.579219603,5.698475404,21.43029858,28.95187023,13.04268382,24.72341852,83.53465108,17.20329642,28.75925539
78,0,0,0,0,0,0,0.724196854,0,0,0,0,0,0
89,0,0,0,0,0,0,0,0,0,5.022107823,9.20499868,9.371022961,1.44610529
90,0,0,0,0,0,0,0,0,2.120375954,1.426965059,9.890375929,33.33896879,5.124258144
99,0,0,0,0,0,0,1.455844791,0,0,2.202687129,5.82952538,0.720407124,7.997380502
100,0,0,0,0,0.735782918,11.70895016,78.69517794,143.8271196,124.8800582,124.5189298,227.2831552,216.5813149,21.26240994
151,0,0,0,0,0,0.718686532,6.464319713,3.634494846,0,1.44257085,2.870394535,3.578540297,4.310331636
153,1.440514866,5.631268006,4.991737674,2.120335316,0,0,1.42289459,0,0,0,3.548886334,0,2.187444145
157,16.38286481,915.8208647,1158.385685,1565.957312,885.6299693,251.7822893,60.4576524,53.2790464,171.7491022,214.6338275,450.4994817,644.9399,472.5643473
158,0,0,0,0,0,0,2.792734613,2.862744698,6.328400835,3.474798392,5.693963141,0,2.891782258
159,0,0,0,0,0,0,0,0,0,0,0,0,0
333,14.27772356,77.27346637,555.3884665,1528.46177,2590.838666,6404.416954,6266.713551,6226.958743,5730.460755,4777.784544,3426.011361,2821.743126,1654.85281
338,60.01029467,226.1018377,297.0011373,405.2514519,387.0341102,337.2102888,486.7103324,559.5228849,843.4477769,1561.595994,1479.527033,1655.545961,1617.06871
400,34.17013271,87.32982564,117.1293215,193.7131956,302.6913383,412.3815908,386.8246336,400.6826594,316.6398803,330.7164313,374.9619365,244.2627698,147.1020759
401,0,0,0,0,0,0,0,0,0,2.886883914,3.525811756,0,4.257252041
402,2.160411625,0,0,0,0,0,0,0,0,0,0,0,0
404,0,0,0,0,0,0,0,2.849077786,16.14703829,28.0656719,13.44979085,12.69342484,10.72202724
407,2.823124947,1.421063929,4.241173459,0,0,0,0,0,0,0,0,0,0
409,0,0,0,0,0,0,0,0,0,0,0,0.713946271,2.84427097
410,4.279266828,9.965153339,7.864240314,1.448848907,0,0,8.520100665,10.70800722,7.083546545,0,15.57865456,42.59319542,25.04289221
413,0,0,0,0,0,73.74576766,133.3778913,166.8572184,234.5743307,166.7551822,84.7159236,262.029674,12.32943762
418,28.2448905,51.45094947,84.42602734,244.1719159,284.2458753,496.2711821,988.466596,530.5815185,232.9328581,15.09104486,0,0,0
420,0,0,2.136128782,0,0.722219443,2.159222814,6.446744668,0,1.430211322,2.852240574,1.41095218,0.726542508,0.726542508
422,0,7.092290137,8.636298633,7.046121614,2.18981666,0.713389211,4.925290685,1.425875275,1.391979654,2.835578999,3.568816338,4.260088859,15.54212103
423,0,0,0,0,0,40.18800742,97.69192713,111.6731887,63.37310829,42.05663563,10.83125889,20.78592204,5.674032068
425,0,44.85256403,155.1776371,171.717476,278.5523787,374.2380194,123.1499039,115.695152,115.8281205,54.8711202,20.10728128,40.30841769,30.57725051
488,12.05953863,0,11.96057832,0,7.750191632,0,6.382497661,0,9.267574412,1.403749287,18.66995093,8.517622848,7.174556441
498,0,0,0,0,0,0,0,0,0,0,4.287578551,8.68422236,4.358204843
504,0,0,0,0,0,0,0,1.456295745,0,0.723220855,0,0,0.723220855
513,17.76453973,7.833193848,12.85999606,18.66042201,28.73168777,5.001672504,20.06895573,8.590515126,10.67356488,3.551952281,11.48718094,10.04013633,0.723289405
518,0,1.416434404,0,0,0,0,0,0,0,0,0,0,0
521,0,0,0,0,0,0,12.7969177,15.8558946,319.5469222,408.9949073,437.9085813,307.5540545,242.6016678
522,1.427524465,0,0,0,0,0,0,0,0,0,0,0,0
523,4.261932196,3.563660797,5.707289689,6.42792579,4.990465034,3.608382063,4.350282632,5.009052069,8.581771992,8.59210069,8.555156394,3.557598695,5.733792552
525,2.846493196,6.442194037,0,2.851386671,2.139341878,0.713542311,3.608522662,68.67281987,25.8380249,0,0,0,0
527,128.0544152,156.049979,219.7242041,137.7269422,0,0,0,0,0,0,0,0,0
528,58.69999784,80.40133613,119.6750811,114.3011174,181.7814854,97.33833356,145.4396514,161.0489639,164.5624274,132.5591332,152.719731,156.7118304,147.9825588
530,0,0,0,0,0,0,0,0,0,0.70380557,2.839775763,0.721927877,2.82686686
536,2.134502559,2.889233166,0,5.802143141,0,0,0,17.92638418,7.876858652,0,0,9.965797701,50.62073364
538,2.796217017,4.273213758,2.816468911,4.90277642,8.498402363,3.641786047,9.719760252,11.16564679,8.552666298,2.084814023,8.334746138,8.414055092,11.20514435
539,0,0,0,0,0,0,0,0,0,0,0,1.382689803,1.400101929
541,4.339281101,4.290251577,3.579230795,27.85637864,12.71319478,29.73673708,28.43202037,56.24393735,47.84745583,43.46777319,75.45601821,112.8799929,115.7106835
542,0,0,0,0,0,0,0,0,0,0,0,0,0
543,0,0,0,0,0,0,0,0,0,0,0,2.881975549,0
544,0,0,0,0,0,0,0,6.435401963,18.53647117,21.38086389,47.97209042,28.84462521,26.6685029
546,0,0,0,0,0,0,0,1.42432182,0,0,0,0,0
550,47.03093943,149.3424696,61.43920359,86.48026623,62.27293937,56.62612476,92.39462693,126.6516998,198.3474002,237.4685143,282.8045017,464.4159035,365.3714883
551,0,0,0,0,0,0,0,0,0,0,0,2.144106746,0
553,0,0,0,0,0,0,0,0.716626233,0,5.087916702,3.594339113,7.961625922,0.742600978
554,0,0,0,0,0,0,0,0,0,0,0,0,7.252505599
559,0,0,0,0,0,0,0,1.473262202,0,0.736506113,0,0,106.5764906
